Month,Sales,CP,DA,SI
Jan-83,#N/A,0.00,396776.00,113.00
Feb-83,#N/A,0.00,152296.00,98.00
Mar-83,#N/A,0.00,157640.00,102.00
Apr-83,#N/A,0.00,246064.00,107.00
May-83,#N/A,15012.00,335716.00,119.00
Jun-83,#N/A,62337.00,326312.00,104.00
Jul-83,#N/A,4022.00,263284.00,107.00
Aug-83,#N/A,3130.00,488676.00,81.00
Sep-83,#N/A,422.00,33928.00,113.00
Oct-83,#N/A,0.00,224028.00,97.00
Nov-83,#N/A,0.00,304004.00,95.00
Dec-83,#N/A,0.00,325872.00,65.00
Jan-84,425075.00,75253.00,457732.00,113.00
Feb-84,315305.00,15036.00,254396.00,98.00
Mar-84,367286.00,134440.00,259952.00,102.00
Apr-84,429432.00,119740.00,267368.00,107.00
May-84,347874.00,135590.00,158504.00,119.00
Jun-84,435529.00,189639.00,430012.00,104.00
Jul-84,299403.00,9308.00,388516.00,107.00
Aug-84,296505.00,41099.00,225616.00,81.00
Sep-84,426701.00,9391.00,1042304.00,113.00
Oct-84,329722.00,942.00,974092.00,97.00
Nov-84,281783.00,1818.00,301892.00,95.00
Dec-84,166391.00,672.00,76148.00,65.00
Jan-85,629402.00,548704.00, -   ,113.00
Feb-85,263467.00,52818.00,315196.00,98.00
Mar-85,398320.00,2793.00,703624.00,102.00
Apr-85,376569.00,27749.00,198464.00,107.00
May-85,444404.00,21887.00,478880.00,119.00
Jun-85,386986.00,1110.00,457172.00,104.00
Jul-85,414314.00,436.00,709480.00,107.00
Aug-85,253493.00,1407.00,45380.00,81.00
Sep-85,484365.00,376650.00,28080.00,113.00
Oct-85,305989.00,122906.00,111520.00,97.00
Nov-85,315407.00,15138.00,267200.00,95.00
Dec-85,182784.00,5532.00,354304.00,65.00
Jan-86,655748.00,544807.00,664712.00,113.00
Feb-86,270483.00,43708.00,536824.00,98.00
Mar-86,365058.00,5740.00,551560.00,102.00
Apr-86,313135.00,9614.00,150080.00,107.00
May-86,528210.00,1507.00,580800.00,119.00
Jun-86,379856.00,13620.00,435080.00,104.00
Jul-86,472058.00,101179.00,361144.00,107.00
Aug-86,254516.00,80309.00,97844.00,81.00
Sep-86,551354.00,335768.00,30372.00,113.00
Oct-86,335826.00,91710.00,150324.00,97.00
Nov-86,320408.00,9856.00,293044.00,95.00
Dec-86,276901.00,107172.00,162788.00,65.00
Jan-87,455136.00,299781.00,32532.00,113.00
Feb-87,247570.00,21218.00,23468.00,98.00
Mar-87,622204.00,157.00,4503456.00,102.00
Apr-87,429331.00,12961.00,500904.00,107.00
May-87,453156.00,333529.00, -   ,119.00
Jun-87,320103.00,178105.00, -   ,104.00
Jul-87,451779.00,315564.00,46104.00,107.00
Aug-87,249482.00,80206.00,92252.00,81.00
Sep-87,744583.00,5940.00,4869952.00,113.00
Oct-87,421186.00,36819.00,376556.00,97.00
Nov-87,397367.00,234562.00,376556.00,95.00
Dec-87,269096.00,71881.00,552536.00,65.00
